original_index,column,dtype,being_used,column_group
0.0,base_datetime,float64,False,
1.0,lat,float32,True,
2.0,lon,float32,True,
3.0,sog,float32,True,
4.0,cog,float32,True,
5.0,year,float32,True,
6.0,month,float32,True,
7.0,destination_cluster_lat_center,float32,False,destination_cluster
8.0,destination_cluster_lon_center,float32,False,destination_cluster
9.0,33.4_-118.64_water_u,int16,True,weather
10.0,33.4_-118.88_water_u,int16,True,weather
11.0,33.4_-119.12_water_u,int16,True,weather
12.0,33.4_-119.36_water_u,int16,True,weather
13.0,33.4_-119.6_water_u,int16,True,weather
14.0,33.4_-119.84_water_u,int16,True,weather
15.0,33.4_-120.08_water_u,int16,True,weather
16.0,33.4_-120.32_water_u,int16,True,weather
17.0,33.4_-120.56_water_u,int16,True,weather
18.0,33.4_-120.8_water_u,int16,True,weather
19.0,33.4_-121.04_water_u,int16,True,weather
20.0,33.4_-121.28_water_u,int16,True,weather
21.0,33.4_-121.52_water_u,int16,True,weather
22.0,33.4_-121.76_water_u,int16,True,weather
23.0,33.4_-122.0_water_u,int16,True,weather
24.0,33.64_-118.64_water_u,int16,True,weather
25.0,33.64_-118.88_water_u,int16,True,weather
26.0,33.64_-119.12_water_u,int16,True,weather
27.0,33.64_-119.36_water_u,int16,True,weather
28.0,33.64_-119.6_water_u,int16,True,weather
29.0,33.64_-119.84_water_u,int16,True,weather
30.0,33.64_-120.08_water_u,int16,True,weather
31.0,33.64_-120.32_water_u,int16,True,weather
32.0,33.64_-120.56_water_u,int16,True,weather
33.0,33.64_-120.8_water_u,int16,True,weather
34.0,33.64_-121.04_water_u,int16,True,weather
35.0,33.64_-121.28_water_u,int16,True,weather
36.0,33.64_-121.52_water_u,int16,True,weather
37.0,33.64_-121.76_water_u,int16,True,weather
38.0,33.64_-122.0_water_u,int16,True,weather
39.0,33.88_-118.64_water_u,int16,True,weather
40.0,33.88_-118.88_water_u,int16,True,weather
41.0,33.88_-119.12_water_u,int16,True,weather
42.0,33.88_-119.36_water_u,int16,True,weather
43.0,33.88_-119.6_water_u,int16,True,weather
44.0,33.88_-119.84_water_u,int16,True,weather
45.0,33.88_-120.32_water_u,int16,True,weather
46.0,33.88_-120.56_water_u,int16,True,weather
47.0,33.88_-120.8_water_u,int16,True,weather
48.0,33.88_-121.04_water_u,int16,True,weather
49.0,33.88_-121.28_water_u,int16,True,weather
50.0,33.88_-121.52_water_u,int16,True,weather
51.0,33.88_-121.76_water_u,int16,True,weather
52.0,33.88_-122.0_water_u,int16,True,weather
53.0,34.12_-119.36_water_u,int16,True,weather
54.0,34.12_-119.6_water_u,int16,True,weather
55.0,34.12_-119.84_water_u,int16,True,weather
56.0,34.12_-120.08_water_u,int16,True,weather
57.0,34.12_-120.32_water_u,int16,True,weather
58.0,34.12_-120.56_water_u,int16,True,weather
59.0,34.12_-120.8_water_u,int16,True,weather
60.0,34.12_-121.04_water_u,int16,True,weather
61.0,34.12_-121.28_water_u,int16,True,weather
62.0,34.12_-121.52_water_u,int16,True,weather
63.0,34.12_-121.76_water_u,int16,True,weather
64.0,34.12_-122.0_water_u,int16,True,weather
65.0,34.36_-119.6_water_u,int16,True,weather
66.0,34.36_-119.84_water_u,int16,True,weather
67.0,34.36_-120.08_water_u,int16,True,weather
68.0,34.36_-120.32_water_u,int16,True,weather
69.0,34.36_-120.56_water_u,int16,True,weather
70.0,34.36_-120.8_water_u,int16,True,weather
71.0,34.36_-121.04_water_u,int16,True,weather
72.0,34.36_-121.28_water_u,int16,True,weather
73.0,34.36_-121.52_water_u,int16,True,weather
74.0,34.36_-121.76_water_u,int16,True,weather
75.0,34.36_-122.0_water_u,int16,True,weather
76.0,34.6_-120.8_water_u,int16,True,weather
77.0,34.6_-121.04_water_u,int16,True,weather
78.0,34.6_-121.28_water_u,int16,True,weather
79.0,34.6_-121.52_water_u,int16,True,weather
80.0,34.6_-121.76_water_u,int16,True,weather
81.0,34.6_-122.0_water_u,int16,True,weather
82.0,34.84_-120.8_water_u,int16,True,weather
